Date,Description,Amount
2020-02-29,Deposit from US DEPARTMENT OF THE TREASURY For: Budget Appropriation [FY 20/21],5000000000
2020-01-02,Payment to Federal Entity,1000000
2020-01-05,Payment to Federal Entity,250000
2020-01-08,Payment to Federal Entity,500000
2020-01-12,Payment to Federal Entity,750000
2020-01-15,Payment to Federal Entity,1250000
2020-01-19,Payment to Federal Entity,100000
2020-01-22,Payment to Federal Entity,200000
2020-01-26,Payment to Federal Entity,350000
2020-01-29,Payment to Federal Entity,125000
2020-01-31,Payment to Federal Entity,75000
2020-02-02,Withdrawal to US BANK Account ending in 7050,2500000000
2020-02-05,Payment to Federal Entity,50000
2020-02-08,Payment to Federal Entity,100000
2020-02-11,Payment to Federal Entity,75000
2020-02-14,Payment to Federal Entity,125000
2020-02-17,Payment to Federal Entity,250000
2020-02-20,Payment to Federal Entity,50000
2020-02-23,Payment to Federal Entity,75000
2020-02-26,Payment to Federal Entity,100000
2020-03-03,Payment to Federal Entity,125000
2020-03-06,Payment to Federal Entity,250000
2020-03-09,Payment to Federal Entity,50000
2020-03-12,Payment to Federal Entity,75000
2020-03-15,Payment to Federal Entity,500000000
2020-03-18,Payment to Federal Entity,125000
2020-03-21,Payment to Federal Entity,250000
2020-03-24,Payment to Federal Entity,50000
2020-03-27,Payment to Federal Entity,75000
2020-03-30,Payment to Federal Entity,100000
2021-09-29,Deposit from US DEPARTMENT OF THE TREASURY For: Budget Appropriation [FY 21/22],5000000000
2022-09-01,Payment to Federal Entity,250000
2022-09-04,Payment to Federal Entity,50000
2022-09-07,Payment to Federal Entity,75000
2022-09-10,Payment to Federal Entity,125000
2022-09-13,Payment to Federal Entity,250000
2022-09-16,Payment to Federal Entity,50000
2022-09-19,Payment to Federal Entity,75000
2022-09-22,Payment to Federal Entity,100000
2022-09-25,Payment to Federal Entity,125000
2022-09-28,Deposit from US DEPARTMENT OF THE TREASURY For: Budget Appropriation [FY 22/23],4000000000
2022-09-29,Payment to Federal Entity,250000
2022-09-30,Payment to Federal Entity,50000
2022-10-03,Payment to Federal Entity,75000
2022-10-06,Payment to Federal Entity,125000
2022-10-09,Payment to Federal Entity,250000
2022-10-12,Payment to Federal Entity,50000
2022-10-15,Payment to Federal Entity,75000
2022-10-18,Payment to Federal Entity,100000
2022-10-21,Payment to Federal Entity,125000
2022-10-24,Withdrawal to US BANK Account ending in 1401,2000000000
2022-10-27,Payment to Federal Entity,250000
2022-10-30,Payment to Federal Entity,50000
2023-01-02,Withdrawal to US BANK Account ending in 7419,1500000000
2023-02-15,Payment to Federal Entity,575000000
2023-02-18,Payment to Federal Entity,125000
2023-02-21,Payment to Federal Entity,250000
2023-02-24,Payment to Federal Entity,50000
2023-02-27,Payment to Federal Entity,75000
2023-03-02,Payment to Federal Entity,125000
2023-03-05,Payment to Federal Entity,250000
2023-03-08,Payment to Federal Entity,50000
2023-03-11,Payment to Federal Entity,75000
2023-03-14,Payment to Federal Entity,100000
2023-03-17,Payment to Federal Entity,125000
2023-03-20,Payment to Federal Entity,250000
2023-03-23,Payment to Federal Entity,50000
2023-03-26,Payment to Federal Entity,75000
2023-03-29,Payment to Federal Entity,125000
2023-03-31,Payment to Federal Entity,75000
2023-04-03,Payment to Federal Entity,50000
2023-04-06,Payment to Federal Entity,75000
2023-04-09,Payment to Federal Entity,125000
2023-04-12,Payment to Federal Entity,250000
2023-04-15,Payment to Federal Entity,10000000
2023-04-18,Payment to Federal Entity,75000
2023-04-21,Payment to Federal Entity,50000
2023-04-24,Payment to Federal Entity,75000
2023-04-27,Payment to Federal Entity,125000
2023-04-30,Payment to Federal Entity,250000
2023-05-03,Payment to Federal Entity,50000
2023-05-06,Payment to Federal Entity,75000
2023-05-09,Payment to Federal Entity,100000
2023-05-12,Payment to Federal Entity,125000
2023-05-15,Payment to Federal Entity,50000000
2023-05-18,Payment to Federal Entity,250000
2023-05-21,Payment to Federal Entity,50000
2023-05-24,Payment to Federal Entity,75000
2023-05-27,Payment to Federal Entity,125000
2023-05-30,Payment to Federal Entity,250000
2023-06-02,Payment to Federal Entity,50000
2023-06-05,Payment to Federal Entity,75000
2023-06-08,Payment to Federal Entity,125000
2023-06-09,Payment to Federal Entity,2500000000
2023-06-09,Withdrawal to PayPal Account ending in 8027,10000000
